Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,48.31999969482422,51.0,47.70000076293945,48.35333251953125,21.025644302368164,93576
2002-07-02,49.0,49.29999923706055,46.33333206176758,47.20000076293945,20.524131774902344,31770
2002-07-03,47.233333587646484,48.666664123535156,46.36666488647461,46.85333251953125,20.373394012451172,28722
2002-07-04,47.33333206176758,55.0,47.28666687011719,53.68666458129883,23.344751358032227,776364
2002-07-05,53.400001525878906,56.0,50.666664123535156,53.53333282470703,23.278076171875,231453
2002-07-08,54.5,54.79999923706055,51.46666717529297,53.03333282470703,23.0606689453125,70224
2002-07-09,52.95333480834961,53.68666458129883,50.70000076293945,51.96666717529297,22.596843719482422,48162
2002-07-10,52.0,52.0,49.0533332824707,49.5533332824707,21.547443389892578,37092
2002-07-11,50.68666458129883,53.33333206176758,47.53333282470703,48.43333435058594,21.06043243408203,46239
2002-07-12,48.02000045776367,51.33333206176758,48.02000045776367,49.45333480834961,21.503955841064453,47658
2002-07-15,50.0,50.633331298828125,47.95333480834961,48.70000076293945,21.1763858795166,74814
2002-07-16,47.33333206176758,48.33333206176758,45.766666412353516,47.086666107177734,20.474855422973633,54687
2002-07-17,47.253334045410156,48.5,45.753334045410156,47.96666717529297,20.857505798339844,71016
2002-07-18,48.96666717529297,53.53333282470703,48.96666717529297,52.1533317565918,22.678009033203125,473922
2002-07-19,53.33333206176758,53.33333206176758,49.753334045410156,50.35333251953125,21.895315170288086,145227
2002-07-22,48.96666717529297,49.266666412353516,46.02000045776367,47.099998474121094,20.480649948120117,56094
2002-07-23,46.166664123535156,47.96666717529297,46.03333282470703,46.85333251953125,20.373394012451172,92409
2002-07-24,46.93333435058594,48.166664123535156,44.086666107177734,44.91999816894531,19.532712936401367,65064
2002-07-25,46.266666412353516,47.33333206176758,41.18666458129883,42.0,18.263002395629883,173739
2002-07-26,40.666664123535156,41.0,33.599998474121094,40.0,17.393333435058594,739230
2002-07-29,40.0,40.98666763305664,37.099998474121094,39.38666534423828,17.126636505126953,170697
2002-07-30,40.0,40.93333435058594,37.33333206176758,38.099998474121094,16.567153930664062,60774
2002-07-31,35.20000076293945,40.31999969482422,35.20000076293945,39.88666534423828,17.34405517578125,126240
2002-08-01,40.133331298828125,43.233333587646484,40.03333282470703,40.98666763305664,17.822372436523438,134376
2002-08-02,38.753334045410156,41.6533317565918,38.70000076293945,41.266666412353516,17.944122314453125,34023
2002-08-05,41.666664123535156,43.29999923706055,41.33333206176758,42.88666534423828,18.6485538482666,81639
2002-08-06,42.46666717529297,43.20000076293945,41.666664123535156,42.166664123535156,18.33547019958496,20898
2002-08-07,42.0,47.0,41.5,45.720001220703125,20.529743194580078,197466
2002-08-08,46.31999969482422,46.5533332824707,43.33333206176758,43.599998474121094,19.577795028686523,62256
2002-08-09,43.5,46.0,43.5,44.43333435058594,19.95199203491211,36870
2002-08-12,45.119998931884766,46.96666717529297,43.666664123535156,45.28666687011719,20.33516502380371,225912
2002-08-13,45.83333206176758,45.83333206176758,44.70000076293945,45.03333282470703,20.221410751342773,12450
2002-08-14,45.233333587646484,45.233333587646484,42.38666534423828,43.633331298828125,19.592761993408203,17505
2002-08-15,43.633331298828125,43.633331298828125,43.633331298828125,43.633331298828125,19.592761993408203,0
2002-08-16,44.666664123535156,45.0,44.03333282470703,44.1533317565918,19.826263427734375,22188
2002-08-19,44.666664123535156,45.233333587646484,43.33333206176758,43.43333435058594,19.50295639038086,14979
2002-08-20,44.166664123535156,46.33333206176758,43.720001220703125,45.400001525878906,20.38605499267578,22554
