Date,Open,High,Low,Close,Adj Close,Volume
2012-08-16,15.75,16.0,15.75,16.0,14.224903106689453,125
2012-08-17,16.0,16.0,16.0,16.0,14.224903106689453,0
2012-08-21,16.0,16.0,16.0,16.0,14.224903106689453,0
2012-08-22,16.0,16.0,16.0,16.0,14.224903106689453,0
2012-08-23,15.25,15.75,15.25,15.75,14.002638816833496,400
2012-08-24,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-08-27,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-08-28,15.75,15.75,15.75,15.75,14.002638816833496,600
2012-08-29,15.75,15.75,15.75,15.75,14.002638816833496,100
2012-08-30,15.75,15.75,15.75,15.75,14.002638816833496,325
2012-08-31,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-03,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-04,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-05,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-06,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-07,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-10,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-11,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-12,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-13,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-14,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-17,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-18,15.75,15.75,15.75,15.75,14.002638816833496,100
2012-09-20,15.75,15.75,15.75,15.75,14.002638816833496,50
2012-09-21,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-24,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-25,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-26,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-27,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-09-28,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-01,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-03,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-04,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-05,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-08,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-09,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-10,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-11,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-12,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-15,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-16,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-17,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-18,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-19,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-22,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-23,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-25,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-29,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-30,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-10-31,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-01,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-02,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-05,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-06,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-07,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-08,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-09,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-12,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-15,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-16,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-19,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-20,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-21,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-22,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-23,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-26,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-27,15.75,15.75,15.75,15.75,14.002638816833496,0
2012-11-29,12.899999618530273,12.899999618530273,12.899999618530273,12.899999618530273,11.468827247619629,200
2012-11-30,12.899999618530273,12.899999618530273,12.899999618530273,12.899999618530273,11.468827247619629,0
2012-12-03,12.899999618530273,12.899999618530273,12.899999618530273,12.899999618530273,11.468827247619629,0
2012-12-04,12.899999618530273,12.899999618530273,12.899999618530273,12.899999618530273,11.468827247619629,0
2012-12-05,12.899999618530273,12.899999618530273,12.899999618530273,12.899999618530273,11.468827247619629,0
2012-12-06,12.899999618530273,12.899999618530273,12.899999618530273,12.899999618530273,11.468827247619629,0
2012-12-07,12.300000190734863,13.0,12.300000190734863,13.0,11.557732582092285,2
2012-12-10,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,100
2012-12-11,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-12,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-13,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-14,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-17,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-18,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-19,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-20,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-21,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-24,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-26,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-27,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-28,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2012-12-31,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-01,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-02,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-03,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-04,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-07,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-08,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-09,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-10,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-11,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-14,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-15,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-16,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-17,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-18,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-21,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-22,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-23,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
2013-01-24,12.399999618530273,12.399999618530273,12.399999618530273,12.399999618530273,11.024300575256348,0
